transaction_id,booking_ref,partner_id,user_id,created_at,ingest_ts,amount,currency,status,payment_method,gateway,retry_count,error_code,notes,processing_ms
TXN00000012,BKG0017873,PRT0017,6839a1f7-a5c5-4de2-8092-c97eedda6513,2025-01-10 06:56:18,2025-01-10 06:57:46,1828.21,ARS,CONFIRMED,pix,adyen,0,E002,,812
TXN00000013,BKG0002889,PRT0006,9a39d271-6c55-49b1-9b83-bda03b091ec2,2025-03-23 08:58:31,2025-03-23 08:59:59,1120.17,ARS,pending,debit_card,adyen,2,,ok,1522
TXN00000014,BKG0004135,PRT0010,0d54cd2f-51df-49ba-aa1c-5198aa39a82c,2024-11-03 09:49:34,2024-11-03 09:49:38,1737.22,ARS,confirmed,boleto,stripe,3,TIMEOUT,,5220
TXN00000015,BKG0006178,PRT0018,ba7e431c-1342-4b54-9757-0c7d185009db,2025-03-20 02:06:19,2025-03-27 01:06:19,695.05,CLP,failed,boleto,pagseguro,0,,,14371
TXN00000016,BKG0002251,PRT0013,0a5e40eb-e5d4-4cdf-b6ce-aec81e1932af,2025-02-04 05:59:17,2025-02-04 05:59:59,1805.27,ARS,failed,debit_card,adyen,4,E001,,11599
TXN00000017,BKG0015077,PRT0010,d9f6b00a-e4dd-4bd5-947d-ff882b8e55f3,2025-03-15 00:49:21,2025-03-15 00:54:06,437.62,USD,confirmed,boleto,pagseguro,3,,retry,1513
TXN00000018,BKG0015693,PRT0005,1a86873b-cebe-4766-8cda-d8f133f1f90d,2025-01-25 18:40:54,2025-01-25 18:42:00,645.46,ARS,cancelled,pix,adyen,0,E002,,7513
TXN00000019,BKG0005285,PRT0018,4d013a58-d110-41e5-869b-1c2d26e4ae5b,2024-11-27 13:21:15,2024-11-27 13:21:44,750.82,BRL,CONFIRMED,boleto,stripe,1,,ok,12482
TXN00000020,BKG0017656,PRT0008,,2025-03-26 04:16:45,2025-03-26 04:19:38,829.91,CLP,Confirmed,credit_card,adyen,2,TIMEOUT,retry,8246
TXN00000021,BKG0014879,PRT0001,b18c58e9-53cb-4c07-82bd-585ef9e2cee8,2025-02-24 07:43:28,2025-02-24 07:45:00,1291.67,USD,confirmed,debit_card,adyen,2,,ok,11338
TXN00000022,BKG0009746,PRT0012,02dce94e-bc06-4ab5-853c-5dbc8845407d,2025-02-23 15:55:45,2025-02-23 15:57:22,1096.48,USD,confirmed,pix,cielo,4,,,3491
TXN00000023,BKG0006402,PRT0009,810f13aa-cec0-4ab9-87ea-d9b033019292,2024-11-22 06:59:35,2024-11-22 07:01:04,1013.3,BRL,completed,pix,stripe,0,,retry,6168
TXN00000024,BKG0002397,PRT0013,1d7c4430-9847-47a0-969a-293e57783483,2024-11-22 06:35:35,2024-11-22 06:39:02,159.06,ARS,failed,credit_card,,0,,retry,10595
TXN00000025,BKG0005292,PRT0014,21f0d487-bfd9-4888-b814-e10d81a873a8,2024-12-10 14:59:01,2024-12-10 15:02:56,949.86,ARS,failed,debit_card,,4,E001,ok,5138
TXN00000026,BKG0010248,PRT0010,8772936f-b762-4262-b980-24c59e77b532,2024-11-01 15:50:26,2024-11-01 15:53:19,1916.18,CLP,completed,debit_card,cielo,1,E003,,12529
TXN00000027,BKG0007336,PRT0001,d45c73e2-ebaf-4000-be31-47e598d233ed,2024-10-12 15:56:25,2024-10-12 16:01:22,256.54,USD,confirmed,debit_card,,4,,,778
TXN00000028,,PRT0016,c0f02dd2-f844-42be-9b60-7d8d8c199858,2025-01-17 01:55:51,2025-01-17 01:59:44,375.8,USD,failed,debit_card,cielo,2,,,1794
TXN00000029,BKG0004036,PRT0011,6be3a7da-96c6-4d72-ba38-2f58d2ce7cbf,2024-12-24 05:53:44,2024-12-24 05:53:51,123.78,BRL,failed,,stripe,3,E003,,822
TXN00000030,BKG0013621,PRT0004,ef41a795-021b-42d0-8fb6-2cef9a55494a,2024-12-14 02:13:13,2024-12-14 02:18:12,924.38,CLP,Confirmed,credit_card,adyen,3,E003,,
TXN00000031,BKG0007154,PRT0016,334c3687-245c-4d89-9a6b-0e316f61b201,2025-01-06 15:23:52,2025-01-06 15:27:53,1006.45,CLP,CONFIRMED,credit_card,adyen,0,E003,,6827
TXN00000032,BKG0014681,PRT0011,727e1bef-cf5f-4da6-b63f-1e9b46175a27,2024-12-06 10:30:45,2024-12-06 10:31:18,1820.82,CLP,Confirmed,boleto,adyen,0,E003,manual_review,164
TXN00000033,BKG0005601,PRT0018,,2024-11-01 21:36:28,2024-11-01 21:37:54,208.25,ARS,cancelled,credit_card,cielo,2,E002,,5287
TXN00000034,BKG0008188,PRT0003,eae435d6-3a34-431e-a4e5-b78ae2c615ea,2025-01-31 17:09:56,2025-01-31 17:10:26,136.8,BRL,pending,credit_card,,4,,ok,11959
TXN00000035,BKG0001881,PRT0008,ef9a51e2-e838-4b0b-9f2b-1df0431c5600,2025-02-22 02:48:38,2025-02-22 02:49:13,406.36,USD,failed,,adyen,0,,manual_review,8591
TXN00000036,BKG0013486,PRT0012,e28970c6-5ac9-404b-ae1b-277dc0715849,2024-12-25 11:52:31,2024-12-25 11:53:18,913.75,USD,CONFIRMED,boleto,cielo,2,E001,retry,12768
TXN00000037,BKG0004454,PRT0011,690b91e5-1414-4514-b535-8eb0e517b40a,2025-03-29 21:58:33,2025-03-29 21:59:33,1859.97,BRL,Confirmed,pix,adyen,4,,,7719
TXN00000038,BKG0012162,PRT0006,94ce2769-11f2-4175-99b9-32ad68b328a3,2025-03-10 20:57:16,2025-03-10 21:00:22,1284.7,CLP,failed,pix,,4,TIMEOUT,manual_review,10308
TXN00000039,BKG0017472,PRT0012,cab66821-76f8-4b07-bf9f-e2b294cfa6a0,2025-02-08 18:15:14,2025-02-08 18:19:49,778.59,BRL,confirmed,debit_card,adyen,4,E003,ok,12367
TXN00000040,BKG0007813,PRT0017,bfccaac2-aaa3-4983-9d76-8ee95d302285,2024-11-09 14:52:29,2024-11-09 14:54:32,448.64,ARS,pending,debit_card,,,E003,,4692
TXN00000041,BKG0000169,PRT0009,6c6b1b66-54e2-4365-8f38-4478763f1235,2025-01-17 13:03:52,2025-01-17 13:05:24,81.44,USD,confirmed,debit_card,adyen,3,E002,retry,5796
TXN00000042,BKG0004471,PRT0001,e694ad64-c942-4225-9921-0e8557cf6b56,2024-10-28 20:13:09,2024-10-28 20:14:56,402.14,CLP,completed,credit_card,stripe,3,E001,retry,10871
TXN00000043,BKG0002152,PRT0011,3b9b235e-a78b-4217-8b2b-8fb51e499865,2025-02-08 13:44:16,2025-02-08 13:46:28,1156.38,ARS,completed,credit_card,,0,,,2960
TXN00000044,BKG0006276,PRT0004,5989d25e-af5b-464c-af81-eebfbc2d2621,2025-01-22 06:51:22,2025-01-22 06:51:33,1499.47,BRL,confirmed,,,3,,,3010
TXN00000045,BKG0006855,PRT0006,0e98b3c5-617a-4e60-a827-573d5030cfb9,2025-03-02 01:48:11,2025-03-02 01:49:30,528.35,BRL,failed,,pagseguro,1,E001,manual_review,5846
TXN00000046,BKG0000028,PRT0012,37cdacd3-138b-41ea-b92e-9932b07f8870,2024-11-23 03:31:21,2024-11-23 03:35:08,555.41,CLP,CONFIRMED,credit_card,,0,,,10894
TXN00000047,BKG0001832,PRT0014,1c892712-8661-4edd-8917-ce37760c6c1d,2025-03-10 09:14:39,2025-03-10 09:17:40,819.98,CLP,failed,credit_card,adyen,1,E003,,12870
TXN00000048,BKG0007763,PRT0017,77dff54b-e34f-4b14-8a7d-f2a164636703,2024-11-06 22:35:26,2024-11-06 22:37:32,152.6,USD,completed,,,2,E003,retry,3626
TXN00000049,BKG0004340,PRT0020,2f79e12f-1892-4e17-aade-1cca1961c0be,2025-01-22 14:52:17,2025-01-22 14:56:12,1626.76,ARS,CONFIRMED,debit_card,,2,E003,retry,6491
TXN00000050,BKG0014022,PRT0002,d03f463e-463f-4bff-9dce-fb54966c5d96,2024-10-29 08:21:25,2024-10-29 08:21:40,932.78,CLP,cancelled,debit_card,pagseguro,1,,retry,5230
TXN00000051,BKG0014601,PRT0002,a7704395-f56b-4b47-be00-4797e6b19eb2,2025-02-22 11:03:01,2025-02-22 11:06:50,625.8,ARS,CONFIRMED,pix,,0,,,3755
TXN00000052,BKG0009382,PRT0013,b52e7ab6-8304-465f-b13b-156be998da68,2025-02-02 23:50:16,2025-02-02 23:53:26,916.62,USD,cancelled,debit_card,,2,,,9387
TXN00000053,BKG0013221,PRT0019,458bd749-6efc-4d11-a24b-21108c0cfe61,2024-12-21 05:39:59,2024-12-21 05:40:51,605.54,ARS,completed,boleto,stripe,,E003,,8089
TXN00000054,BKG0013981,PRT0019,40830377-d23e-4823-9a03-96d6153e8f7c,2024-10-04 01:02:41,2024-10-04 01:04:07,1819.24,BRL,cancelled,debit_card,,2,,retry,11140
TXN00000055,BKG0007378,PRT0015,c9bdec3b-4a88-4bc8-b969-c6bbcbc360dd,2024-11-14 03:16:07,2024-11-14 03:19:26,306.91,ARS,CONFIRMED,boleto,stripe,1,E002,retry,4937
TXN00000056,BKG0007235,PRT0019,697f08c6-5c50-41fa-81de-9b060c916ed7,2024-10-18 00:49:47,2024-10-18 00:51:09,867.45,ARS,failed,boleto,adyen,2,TIMEOUT,ok,6721
TXN00000057,BKG0005946,PRT0020,df975966-b4ff-4f25-9c34-17e6f9a51bd3,2025-01-25 03:56:48,2025-01-25 03:58:44,747.9,BRL,confirmed,,adyen,2,,,7043
TXN00000058,BKG0011188,PRT0001,7dfe3e5c-a2b7-4756-adc1-ea1f75931ebe,2025-02-05 05:43:10,2025-02-05 05:46:45,514.61,ARS,confirmed,,,2,TIMEOUT,retry,7488
TXN00000059,BKG0002951,PRT0008,4f613bfa-ac48-4407-aaab-4b7bccf90a63,2024-12-03 22:09:05,2024-12-03 22:10:25,365.28,BRL,failed,credit_card,pagseguro,0,,manual_review,8256
TXN00000060,BKG0005116,PRT0016,2b74d996-4e27-4755-a90e-19766acfb3f2,2024-12-29 18:34:29,2024-12-29 18:38:38,1173.89,CLP,CONFIRMED,pix,,2,,,13360
TXN00000061,BKG0000788,PRT0013,32068b95-2211-4577-b7d0-41dcde9a41eb,2024-10-14 17:03:53,2024-10-14 17:07:12,446.45,USD,CONFIRMED,credit_card,pagseguro,4,TIMEOUT,,3467
TXN00000062,BKG0013681,PRT0014,101a83ea-6618-40f6-8163-27c9214162b1,2025-02-15 13:41:42,2025-02-15 13:44:20,1799.99,ARS,CONFIRMED,boleto,pagseguro,4,E001,ok,4862
TXN00000063,BKG0004087,PRT0008,f6430380-cb4a-45d0-90a1-0c169ecda0ca,2024-11-13 01:36:05,2024-11-13 01:39:01,914.06,USD,Confirmed,credit_card,,1,E003,retry,7665
TXN00000064,BKG0008987,PRT0002,94abcb34-e6f0-43f6-a40d-83318f1fff1b,2025-01-09 01:39:37,2025-01-09 01:42:36,101.48,ARS,failed,,pagseguro,2,,,11013
TXN00000065,BKG0015119,PRT0015,c33d592d-296d-4cea-a034-db82864fd0d2,2024-10-26 02:29:03,2024-10-26 02:32:01,1968.0,USD,pending,debit_card,,1,,retry,466
TXN00000066,BKG0002301,PRT0006,c07807e0-2263-44fa-82f2-e053fdd9e296,2024-11-19 04:14:09,2024-11-19 04:17:41,598.66,BRL,completed,pix,,0,E003,ok,4838
TXN00000067,BKG0010568,PRT0012,df89d974-4d1a-4b06-b265-bd13c7fe46ec,2024-10-04 04:58:12,2024-10-04 04:58:13,1819.62,BRL,CONFIRMED,debit_card,cielo,0,,retry,9325
TXN00000068,BKG0003352,PRT0003,ce53c6f6-f9d2-4ec1-8737-4021d1f94fb8,2024-12-20 16:15:24,2024-12-20 16:17:44,100716.92,BRL,cancelled,,adyen,1,E003,,14752
TXN00000069,BKG0006715,PRT0005,108f7efd-56bc-4808-807b-bb3be193998a,2024-12-15 00:40:17,2024-12-15 00:45:09,1804.57,CLP,confirmed,,stripe,2,,,12187
TXN00000070,BKG0015210,PRT0019,c37d757d-296c-47e9-beca-883c100eb3c7,2024-10-24 00:12:18,2024-10-24 00:14:13,91.66,ARS,Confirmed,debit_card,pagseguro,4,,manual_review,14662
TXN00000071,BKG0012492,PRT0008,0846e42b-2526-492c-bf22-fe63a8d70024,2024-12-01 07:01:29,2024-12-01 07:02:10,1155.67,CLP,cancelled,,adyen,3,,,13966
TXN00000072,BKG0017969,PRT0015,8c484418-d470-4800-8bee-317706dea630,2024-10-22 18:07:07,2024-10-22 18:10:00,1457.09,CLP,failed,boleto,pagseguro,1,E003,ok,5436
TXN00000073,BKG0015812,PRT0010,a182ffef-93a0-4140-90e2-161c773d2502,2025-03-10 16:59:50,2025-03-10 17:00:17,1108.31,ARS,completed,pix,pagseguro,0,E001,manual_review,13746
TXN00000074,BKG0004792,PRT0011,c8eaff13-d3e9-4cab-b879-c364f4a5b070,2025-01-17 06:06:53,2025-01-17 06:08:22,1110.15,BRL,confirmed,,adyen,,E003,,9267
TXN00000075,BKG0006621,PRT0005,a6f80ca2-4921-44d4-9f2f-c2dadad6d0da,2024-10-09 18:35:19,2024-10-09 18:36:56,1324.7,ARS,pending,debit_card,pagseguro,1,TIMEOUT,manual_review,250
TXN00000076,BKG0010852,PRT0015,8ad1e0cb-46e6-4c3c-9dcf-585b13880247,2024-12-27 16:13:45,2024-12-27 16:16:12,1018.99,USD,completed,debit_card,cielo,3,,retry,10352
TXN00000077,BKG0014576,PRT0012,daa2f6e5-6091-43dd-87e7-9977bddf238f,2024-10-05 01:52:07,2024-10-05 01:52:26,966.02,USD,confirmed,credit_card,,0,,manual_review,2630
TXN00000078,BKG0001894,PRT0002,d5e47e96-f24f-4eb8-ae31-cc1829851dbf,2025-01-19 06:10:51,2025-01-19 06:13:31,1095.95,ARS,completed,,cielo,,,,1912
TXN00000079,BKG0016166,PRT0008,4f9b7cf0-ec6e-48e5-92fc-4c997b2d3129,2025-03-07 10:58:23,2025-03-07 11:03:06,1813.2,BRL,completed,pix,,,,,12450
TXN00000080,BKG0002168,PRT0017,5109ece7-d56b-4997-bd83-22a2109e9fba,2025-02-20 18:00:41,2025-02-20 18:04:35,774.63,BRL,completed,,cielo,3,,,1292
TXN00000081,BKG0011477,PRT0017,54131981-9204-4f11-ac87-dbe06021c66f,2025-03-30 17:29:50,2025-03-30 17:29:57,1486.87,USD,failed,,,1,E002,ok,10623
TXN00000082,BKG0008147,PRT0009,b6364ca6-0b14-4001-ab47-cdf586a914b6,2024-11-08 08:49:37,2024-11-08 08:50:34,1570.48,CLP,failed,,,4,,manual_review,1691
TXN00000083,BKG0009972,PRT0014,441f906e-b1ec-449e-8321-2ef15fba9da3,2024-12-08 21:21:55,2024-12-08 21:25:01,1182.07,ARS,Confirmed,credit_card,cielo,,TIMEOUT,retry,12855
TXN00000084,BKG0017414,PRT0009,dd3b1df5-5279-4653-a446-a447207e8047,2024-11-29 05:28:45,2024-11-29 05:28:55,443.05,ARS,pending,boleto,cielo,3,,,9531
TXN00000085,BKG0009128,PRT0015,21acd26f-edc2-4615-9464-5da40bcb754e,2025-02-28 20:32:56,2025-02-28 20:34:39,1928.31,ARS,confirmed,credit_card,stripe,4,E001,ok,14556
TXN00000086,BKG0014674,PRT0006,274097c0-82ea-4a22-8d07-7665855e6522,2024-11-20 01:32:31,2024-11-26 20:32:31,1784.38,CLP,Confirmed,boleto,adyen,2,,,2424
TXN00000087,BKG0009205,PRT0013,,2024-10-28 15:35:33,2024-10-28 15:37:22,898.78,CLP,completed,pix,stripe,1,,,4913
TXN00000088,BKG0010018,PRT0001,72adc912-6b8a-4e90-96c0-f438122da889,2024-12-17 08:22:44,2024-12-17 08:23:34,144.37,BRL,completed,credit_card,pagseguro,,,retry,4556
TXN00000089,BKG0013579,PRT0015,4fd5de2c-4246-4605-8eba-731fb4e3806e,2025-02-05 00:42:09,2025-02-05 00:43:20,405.93,USD,confirmed,boleto,cielo,3,,,4345
TXN00000090,BKG0005017,PRT0008,e832118e-ac47-431e-8746-226e585e9019,2025-01-10 15:25:15,2025-01-10 15:27:58,1008.92,CLP,confirmed,debit_card,pagseguro,0,,manual_review,11209
TXN00000091,,PRT0019,686adfa7-6700-4d4d-9c63-ba20384983ea,2024-11-05 23:48:35,2024-11-05 23:51:18,1257.99,USD,Confirmed,debit_card,pagseguro,4,E003,,6000
TXN00000092,BKG0002723,PRT0005,eddd826e-15fe-41f9-b07f-d9455defd3eb,2025-02-08 21:54:45,2025-02-08 21:59:00,1301.89,BRL,failed,credit_card,cielo,0,E001,retry,827
TXN00000093,,PRT0012,ba172d53-983f-40bc-818b-764b31b79558,2024-10-30 11:19:35,2024-10-30 11:24:29,368.92,USD,CONFIRMED,pix,stripe,0,,manual_review,337
TXN00000094,BKG0013210,PRT0007,b5836e0f-7a64-4208-add2-6e7be1f40fd4,2025-02-25 04:06:08,2025-02-25 04:10:41,1413.72,USD,Confirmed,boleto,pagseguro,4,E001,retry,14016
TXN00000095,BKG0015348,PRT0013,c4366e98-0fce-4c6e-b4c7-ac9409340378,2025-02-03 21:43:53,2025-02-03 21:45:27,1307.55,CLP,CONFIRMED,boleto,pagseguro,0,TIMEOUT,,
TXN00000096,BKG0001283,PRT0006,a3b25db2-3cac-4f95-b440-573a4b924b51,2024-10-29 22:58:49,2024-10-29 22:59:06,1240.26,ARS,cancelled,pix,stripe,1,TIMEOUT,manual_review,13674
TXN00000097,BKG0015423,PRT0019,98da5196-3e9b-43c0-8f5e-ceecb29dd009,2024-10-04 03:58:40,2024-10-04 04:01:14,1418.41,BRL,pending,credit_card,stripe,,,manual_review,7753
TXN00000098,BKG0012470,PRT0011,8d49f144-bb9e-40e4-abe6-542ff1b69e4b,2024-11-11 02:55:35,2024-11-11 02:58:57,1308.81,ARS,cancelled,pix,adyen,1,,,3021
TXN00000099,BKG0003180,PRT0018,2aa1e205-b235-411f-8d12-cd23d0f26683,2025-01-29 02:14:03,2025-01-29 02:15:37,1318.27,ARS,CONFIRMED,,adyen,3,,ok,1369
TXN00000100,BKG0017654,PRT0012,d7edf77d-2aa0-46e1-bea8-6cb992c13171,2025-01-19 15:33:38,2025-01-19 15:35:34,238.47,CLP,confirmed,debit_card,adyen,0,E003,,271
TXN00000101,BKG0016488,PRT0009,1c2e951f-6082-4ee9-96bf-05dc615d176b,2025-01-15 13:03:11,2025-01-15 13:07:20,1785.54,ARS,cancelled,boleto,stripe,3,,,9784
TXN00000102,BKG0017018,PRT0019,6edca11e-f2ad-4745-8185-5293e761874c,2025-03-21 19:08:16,2025-03-21 19:08:49,1645.51,ARS,pending,credit_card,stripe,4,TIMEOUT,,5660
TXN00000103,BKG0012973,PRT0003,46820652-6cb5-4559-b3a0-d127a48d2003,2024-12-28 23:23:53,2024-12-28 23:25:46,1537.55,CLP,CONFIRMED,,cielo,4,E001,,8618
TXN00000104,BKG0004119,PRT0007,0cc97263-0eae-494c-a52b-e6ee7d3c5f9b,2025-02-12 11:04:03,2025-02-12 11:08:16,1841.57,USD,pending,debit_card,stripe,1,TIMEOUT,ok,6002
TXN00000105,BKG0003345,PRT0004,e9c8567c-9c7a-4fbd-a3d2-2ea51dcf4759,2024-10-26 10:59:24,2024-10-26 11:04:20,1297.67,USD,confirmed,boleto,adyen,0,E001,manual_review,13495
TXN00000106,BKG0010456,PRT0002,9cdd8971-87e7-401a-b5c5-2413c0c83b75,2024-12-20 03:32:47,2024-12-20 03:33:24,1560.47,ARS,CONFIRMED,pix,stripe,3,E001,,2757
TXN00000107,BKG0015614,PRT0002,c495c79c-a0ec-41c3-a9ce-eceaac62cf4a,2024-10-20 12:56:49,2024-10-20 13:00:42,571.47,BRL,completed,credit_card,stripe,4,E001,,2715
TXN00000108,BKG0012603,PRT0011,e72338db-3590-4c6a-8b98-ac52ec091720,2024-10-09 08:22:27,2024-10-09 08:23:07,1847.46,CLP,confirmed,credit_card,pagseguro,1,E003,retry,2158
TXN00000109,BKG0002474,PRT0019,f4effa2b-4e80-429f-80b3-d31c9ffa6093,2024-10-15 04:14:50,2024-10-15 04:19:45,1311.81,CLP,cancelled,boleto,,3,E001,retry,2212
TXN00000110,BKG0015077,PRT0009,e7d4606c-3eee-4d4e-995a-38841b2c424c,2024-10-18 04:23:16,2024-10-18 04:23:41,424.53,ARS,CONFIRMED,debit_card,,2,,,592
TXN00000111,BKG0010404,PRT0015,6807965d-2ff3-4807-bd0f-4f4cde90afbf,2024-10-15 16:21:55,2024-10-15 16:23:19,816.79,ARS,Confirmed,boleto,,3,,manual_review,240
TXN00000112,BKG0007050,PRT0017,c736b338-b706-4bc9-9cf7-9dd8474732aa,2024-12-01 15:06:12,2024-12-01 15:06:30,380.95,ARS,cancelled,credit_card,stripe,3,,,12308
TXN00000113,BKG0015429,PRT0018,64cd37f5-0022-4b1f-b98c-8d8c51ea362e,2025-02-03 17:24:57,2025-02-03 17:28:19,795.48,ARS,CONFIRMED,credit_card,stripe,1,,retry,1520
TXN00000114,BKG0016897,PRT0001,,2024-12-31 21:47:11,2024-12-31 21:51:05,458.05,ARS,cancelled,,pagseguro,0,TIMEOUT,manual_review,9684
TXN00000115,,PRT0013,c6c0df61-04f8-4ee1-b369-de47f936ffe2,2024-12-24 03:11:22,2024-12-24 03:11:40,463.71,ARS,CONFIRMED,,stripe,0,E003,manual_review,2434
TXN00000116,BKG0001634,PRT0004,b70415fd-3eed-4f1e-ae3a-366d2cd6ddb1,2024-10-06 22:34:42,2024-10-06 22:35:46,1164.56,ARS,pending,,cielo,0,TIMEOUT,ok,
TXN00000117,BKG0014327,PRT0012,ea2ce3e0-7401-4a39-ae54-9b22e44ce7e3,2024-11-04 21:19:10,2024-11-04 21:19:49,1746.11,BRL,Confirmed,,pagseguro,2,E002,retry,
TXN00000118,BKG0008983,PRT0010,01e446ae-7911-4bc6-addd-5f8c5897ca75,2025-01-08 13:06:36,2025-01-08 13:09:24,745.42,BRL,CONFIRMED,,stripe,2,,manual_review,880
TXN00000119,BKG0002741,PRT0019,c702e296-d8e9-43ed-ba63-a7d6914a7751,2024-10-22 01:15:44,2024-10-22 01:20:21,1752.62,USD,CONFIRMED,,,0,,ok,9008
TXN00000120,BKG0015580,PRT0014,06e94da2-d892-49d7-a8bb-9f2fae141d00,2024-12-09 18:57:37,2024-12-09 19:02:00,1155.94,CLP,CONFIRMED,debit_card,pagseguro,3,E003,manual_review,
TXN00000121,BKG0006183,PRT0012,,2025-02-11 18:00:48,2025-02-11 18:04:32,919.25,ARS,Confirmed,pix,cielo,1,E001,ok,12565
TXN00000122,BKG0003439,PRT0019,f7ed26eb-3b1e-46fa-8775-b682b36a064e,2025-02-28 04:55:42,2025-02-28 04:58:33,520.75,USD,completed,boleto,stripe,3,,ok,6129
TXN00000123,BKG0016324,PRT0016,,2024-11-06 05:25:15,2024-11-06 05:30:10,305.69,USD,cancelled,boleto,pagseguro,0,E003,,13726
TXN00000124,BKG0004195,PRT0015,3396cc4c-909f-43e7-84ce-a8f8cdbaba17,2025-03-11 10:53:10,2025-03-11 10:55:24,849.31,BRL,failed,,stripe,2,E001,,5170
TXN00000125,BKG0002763,PRT0007,0448b17e-2b6f-4d8b-ac21-8e3f057b7447,2024-11-01 15:54:51,2024-11-01 15:55:38,752.65,USD,cancelled,credit_card,,0,,,9009
TXN00000126,BKG0008360,PRT0004,186c791c-6d37-449a-a4c2-0da230f2b99b,2025-02-02 03:36:56,2025-02-02 03:41:33,550.17,BRL,completed,boleto,,1,,retry,552
TXN00000127,BKG0005379,PRT0006,c1422310-082e-4481-adf3-6b3ef4695902,2025-02-08 16:33:17,2025-02-08 16:34:31,732.41,ARS,confirmed,pix,stripe,3,E001,manual_review,12187
TXN00000128,BKG0000654,PRT0005,,2024-10-10 08:32:11,2024-10-10 08:34:07,231.85,USD,confirmed,debit_card,,4,TIMEOUT,,801
TXN00000129,BKG0016514,PRT0020,86c25536-f88a-4b28-8756-0e3eb24525a3,2024-12-23 17:41:02,2024-12-23 17:41:10,126940.76,ARS,completed,boleto,,2,,,6277
TXN00000130,BKG0017741,PRT0011,59cfb54c-c96f-42aa-b0df-d5bb97a59a68,2024-11-08 08:13:20,2024-11-08 08:17:00,1478.18,ARS,CONFIRMED,credit_card,adyen,1,,manual_review,11165
TXN00000131,BKG0001934,PRT0001,46b0b116-4db7-430b-bb43-c5bfc544f3e5,2024-12-22 12:02:24,2024-12-28 17:02:24,1880.88,ARS,CONFIRMED,pix,adyen,,,manual_review,5807
TXN00000132,BKG0006709,PRT0014,c5a0265b-ef36-4777-a3d1-e8732623e831,2024-10-18 03:44:04,2024-10-18 03:44:17,895.37,USD,Confirmed,boleto,pagseguro,1,E002,ok,8229
TXN00000133,BKG0005664,PRT0003,cb73a6d3-f3b5-406b-a965-9e54b5436cab,2025-01-21 15:01:18,2025-01-21 15:05:10,1263.88,ARS,CONFIRMED,debit_card,pagseguro,3,E003,,2021
TXN00000134,BKG0011146,PRT0006,c90f78cc-35e1-4c99-a244-bcb95f268306,2025-01-23 19:32:30,2025-01-23 19:33:43,1209.99,USD,cancelled,,,1,E003,manual_review,565
TXN00000135,,PRT0007,971f0cfc-dcb2-43f5-a75e-d06fd6bb3941,2024-12-27 08:26:57,2024-12-27 08:27:55,1535.47,BRL,cancelled,,,4,,,9145
TXN00000136,BKG0001864,PRT0015,9e82b7d7-3786-4b98-b900-6c68db82909f,2024-11-20 12:13:57,2024-11-20 12:18:13,1302.54,BRL,CONFIRMED,credit_card,cielo,3,E003,ok,942
